Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,5386,5344,5493,"54,34","0,000%",",18563","0,44","0,04","2421,0"
TOTAL,5,5386,5344,5493,"54,34","0,000%",",18563","0,44","0,04","2421,0"
