Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,1845,1809,1940,"48,54","0,000%",",54107","2027,89","0,11","3837900,0"
TOTAL,5,1845,1809,1940,"48,54","0,000%",",54107","2027,89","0,11","3837900,0"
