Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,15462,15429,15526,"38,14","0,000%",",06467","3535,48","0,01","55982613,0"
TOTAL,5,15462,15429,15526,"38,14","0,000%",",06467","3535,48","0,01","55982613,0"
