Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,20137,18973,21140,"660,00","0,000%",",04966","10112,00","0,01","208518482,0"
TOTAL,10,20137,18973,21140,"660,00","0,000%",",04966","10112,00","0,01","208518482,0"
