Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,10497,9838,11242,"474,23","0,000%",",09526","2,00","0,02","21490,0"
TOTAL,10,10497,9838,11242,"474,23","0,000%",",09526","2,00","0,02","21490,0"
