Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
VM Runnning ,50,1789,1751,2487,"102,28","0,000%",",55883","4554,32","0,00","8345365,0"
TOTAL,50,1789,1751,2487,"102,28","0,000%",",55883","4554,32","0,00","8345365,0"
