Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,9444,9281,9539,"88,96","0,000%",",10588","3270,54","0,02","31630954,0"
TOTAL,5,9444,9281,9539,"88,96","0,000%",",10588","3270,54","0,02","31630954,0"
