Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,73,68,86,"6,53","0,000%","13,58696","352,41","1,96","26560,0"
TOTAL,5,73,68,86,"6,53","0,000%","13,58696","352,41","1,96","26560,0"
