Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,96,89,104,"4,82","0,000%","10,35197","806,66","1,50","79794,0"
TOTAL,5,96,89,104,"4,82","0,000%","10,35197","806,66","1,50","79794,0"
