Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,28,28,29,"0,49","0,000%","35,21127","61,86","5,26","1799,0"
TOTAL,5,28,28,29,"0,49","0,000%","35,21127","61,86","5,26","1799,0"
