Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,22,21,23,"0,75","0,000%","43,47826","66,36","6,50","1563,0"
TOTAL,5,22,21,23,"0,75","0,000%","43,47826","66,36","6,50","1563,0"
