Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
VM Runnning ,10,8945,8828,9041,"69,82","0,000%",",11179","753,94","0,00","6906394,0"
TOTAL,10,8945,8828,9041,"69,82","0,000%",",11179","753,94","0,00","6906394,0"
