Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
VM Runnning ,10,1042,1012,1269,"75,47","0,000%",",95896","6468,20","0,00","6906915,0"
TOTAL,10,1042,1012,1269,"75,47","0,000%",",95896","6468,20","0,00","6906915,0"
