Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
VM Runnning ,10,12050,11191,12239,"298,70","0,000%",",08298","559,70","0,00","6906523,0"
TOTAL,10,12050,11191,12239,"298,70","0,000%",",08298","559,70","0,00","6906523,0"
