Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,5782,5435,6092,"208,97","0,000%",",17290","3,43","0,02","20309,0"
TOTAL,5,5782,5435,6092,"208,97","0,000%",",17290","3,43","0,02","20309,0"
