Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,13,8,34,"10,31","0,000%","72,46377","1487,91","10,47","21026,0"
TOTAL,5,13,8,34,"10,31","0,000%","72,46377","1487,91","10,47","21026,0"
