Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,157,131,237,"40,03","0,000%","6,33714","14,98","1,26","2421,0"
TOTAL,5,157,131,237,"40,03","0,000%","6,33714","14,98","1,26","2421,0"
