Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,780,760,842,"31,10","0,000%","1,28139","2,91","0,24","2323,0"
TOTAL,5,780,760,842,"31,10","0,000%","1,28139","2,91","0,24","2323,0"
