Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,10486,9642,10825,"439,75","0,000%",",09536","2945,74","0,02","31630954,0"
TOTAL,5,10486,9642,10825,"439,75","0,000%",",09536","2945,74","0,02","31630954,0"
