Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,1242,1194,1301,"34,57","0,000%",",80489","1,83","0,15","2323,0"
TOTAL,5,1242,1194,1301,"34,57","0,000%",",80489","1,83","0,15","2323,0"
