Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,1960,1921,1995,"24,19","0,000%",",50994","0,79","0,08","1582,0"
TOTAL,5,1960,1921,1995,"24,19","0,000%",",50994","0,79","0,08","1582,0"
