Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,777,755,845,"25,08","0,000%",",66072","1,50","0,12","2323,0"
TOTAL,10,777,755,845,"25,08","0,000%",",66072","1,50","0,12","2323,0"
