Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,167,157,204,"18,32","0,000%","5,96659","13,54","1,11","2323,0"
TOTAL,5,167,157,204,"18,32","0,000%","5,96659","13,54","1,11","2323,0"
