Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,33881,33482,34294,"273,61","0,000%",",02951","1454,91","0,01","50477527,0"
TOTAL,5,33881,33482,34294,"273,61","0,000%",",02951","1454,91","0,01","50477527,0"
