timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618653108278,601779,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",60,0,1
1618653710058,577238,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",43,0,1
1618654287297,600433,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",42,0,0
1618654887730,599422,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",44,0,1
1618655487152,600027,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",42,0,0
