Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,7231,7045,7432,"132,95","0,000%",",13828","0,33","0,03","2421,0"
TOTAL,5,7231,7045,7432,"132,95","0,000%",",13828","0,33","0,03","2421,0"
