Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,53629,53528,53729,"74,36","0,000%",",01865","3240,08","0,00","177933937,0"
TOTAL,5,53629,53528,53729,"74,36","0,000%",",01865","3240,08","0,00","177933937,0"
