Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,794,771,857,"33,14","0,000%","1,25881","2,86","0,23","2323,0"
TOTAL,5,794,771,857,"33,14","0,000%","1,25881","2,86","0,23","2323,0"
