Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,15228,14576,15824,"413,46","0,000%",",06567","1532,28","0,01","23894288,0"
TOTAL,10,15228,14576,15824,"413,46","0,000%",",06567","1532,28","0,01","23894288,0"
