Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
VM Runnning ,10,320,301,428,"36,16","0,000%","3,11721","19004,17","0,00","6242855,0"
TOTAL,10,320,301,428,"36,16","0,000%","3,11721","19004,17","0,00","6242855,0"
