Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,803032,803032,803032,"0,00","0,000%",",00125","445,80","0,00","366585308,0"
TOTAL,1,803032,803032,803032,"0,00","0,000%",",00125","445,80","0,00","366585308,0"
