Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,8,6,21,"4,14","0,000%","1,46671","10,73","0,19","7491,0"
TOTAL,10,8,6,21,"4,14","0,000%","1,46671","10,73","0,19","7491,0"
