Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,6131,6043,6200,"52,19","0,000%",",16308","0,39","0,03","2421,0"
TOTAL,5,6131,6043,6200,"52,19","0,000%",",16308","0,39","0,03","2421,0"
