timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618664951889,57010,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",65,0,1
1618665008900,55685,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",44,0,1
1618665064584,56993,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",42,0,1
1618665121577,56679,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",41,0,1
1618665178256,55981,HTTP Request,200,OK,Thread Group 1-1,text,true,,177931882,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",41,0,1
