Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,16137,15391,17174,"664,20","0,000%",",06197","1343,65","0,01","22203400,0"
TOTAL,5,16137,15391,17174,"664,20","0,000%",",06197","1343,65","0,01","22203400,0"
