timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618735917546,53835,HTTP Request,200,OK,Thread Group 1-1,text,true,,177955823,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",62,0,0
1618735971382,53646,HTTP Request,200,OK,Thread Group 1-1,text,true,,177955823,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",45,0,1
1618736025028,53831,HTTP Request,200,OK,Thread Group 1-1,text,true,,177955823,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",43,0,1
1618736078861,53849,HTTP Request,200,OK,Thread Group 1-1,text,true,,177955823,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",45,0,0
1618736132710,53619,HTTP Request,200,OK,Thread Group 1-1,text,true,,177955823,204,1,1,"http://127.0.0.1:5000/collections/Zurich_Building_LoD2_V10/items/?bbox=8.47424,47.36766,8.60916,47.41647&epsg=4326",43,0,0
