Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,3620,3598,3668,"25,01","0,000%",",27617","2998,28","0,04","11117344,0"
TOTAL,5,3620,3598,3668,"25,01","0,000%",",27617","2998,28","0,04","11117344,0"
